title,genre
10-Things-I-Hate-About-You,"[u'Comedy', u'Drama', u'Romance']"
12-and-Holding,[u'Drama']
12-Monkeys,"[u'Adventure', u'Drama', u'Mystery', u'Sci-Fi', u'Thriller']"
12-Years-a-Slave,"[u'Biography', u'Drama', u'History']"
127-Hours,"[u'Adventure', u'Biography', u'Drama', u'Thriller']"
1492-Conquest-of-Paradise,"[u'Adventure', u'Biography', u'Drama', u'History']"
15-Minutes,"[u'Action', u'Crime', u'Drama', u'Thriller']"
17-Again,"[u'Comedy', u'Drama', u'Family', u'Fantasy']"
187,"[u'Drama', u'Thriller']"
2001-A-Space-Odyssey,"[u'Adventure', u'Mystery', u'Sci-Fi']"
2012,"[u'Action', u'Adventure', u'Sci-Fi']"
25th-Hour,[u'Drama']
30-Minutes-or-Less,"[u'Action', u'Comedy', u'Crime']"
42,"[u'Biography', u'Drama', u'Sport']"
44-Inch-Ches,"[u'Crime', u'Drama']"
50-50,"[u'Action', u'Adventure', u'Comedy']"
500-Days-of-Summer,"[u'Comedy', u'Drama', u'Romance']"
8MM,"[u'Mystery', u'Thriller']"
9,"[u'Animation', u'Action', u'Adventure', u'Drama', u'Mystery', u'Sci-Fi', u'Thriller']"
A-Few-Good-Men,"[u'Drama', u'Thriller']"
A-Serious-Man,"[u'Comedy', u'Drama']"
Above-the-Law,"[u'Action', u'Crime', u'Mystery', u'Thriller']"
Absolute-Power,"[u'Action', u'Crime', u'Drama', u'Thriller']"
"Abyss,-The","[u'Adventure', u'Drama', u'Romance', u'Sci-Fi', u'Thriller']"
Adaptation,"[u'Comedy', u'Drama']"
"Addams-Family,-The","[u'Comedy', u'Fantasy']"
"Adjustment-Bureau,-The","[u'Romance', u'Sci-Fi', u'Thriller']"
"Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The","[u'Adventure', u'Comedy', u'Romance', u'Sci-Fi']"
Affliction,"[u'Drama', u'Mystery', u'Thriller']"
After-School-Specia,"[u'Adventure', u'Comedy', u'Crime']"
After.Life,"[u'Drama', u'Horror', u'Mystery', u'Thriller']"
Agnes-of-God,"[u'Drama', u'Mystery']"
Airplane-2-The-Seque,"[u'Comedy', u'Sci-Fi']"
Airplane,"[u'Action', u'Comedy', u'Sci-Fi', u'Horror']"
Aladdin,"[u'Animation', u'Adventure', u'Comedy', u'Family', u'Fantasy', u'Musical', u'Romance']"
Ali,"[u'Biography', u'Drama', u'Sport']"
Alien-3,"[u'Action', u'Horror', u'Sci-Fi']"
Alien-Nation,"[u'Action', u'Crime', u'Sci-Fi']"
Alien-Resurrection,"[u'Action', u'Horror', u'Sci-Fi']"
Alien-vs.-Predator,"[u'Action', u'Horror', u'Sci-Fi', u'Thriller']"
Alien,"[u'Horror', u'Sci-Fi']"
Aliens,"[u'Action', u'Adventure', u'Sci-Fi', u'Thriller']"
All-About-Eve,[u'Drama']
All-About-Steve,[u'Drama']
All-the-King's-Men,"[u'Drama', u'Thriller']"
All-the-President's-Men,"[u'Biography', u'Drama', u'History', u'Thriller']"
Almost-Famous,"[u'Adventure', u'Comedy', u'Drama', u'Music']"
Alone-in-the-Dark,"[u'Horror', u'Sci-Fi']"
Amadeus,"[u'Biography', u'Drama', u'History', u'Music']"
Amelia,"[u'Comedy', u'Romance']"
"American,-The","[u'Crime', u'Drama', u'Mystery', u'Thriller']"
American-Beauty,"[u'Drama', u'Romance']"
American-Gangster,"[u'Biography', u'Crime', u'Drama']"
American-Graffiti,"[u'Comedy', u'Drama', u'Music']"
American-History-X,"[u'Crime', u'Drama']"
American-Hustle,"[u'Crime', u'Drama']"
American-Madness,"[u'Crime', u'Thriller']"
American-Outlaws,"[u'Action', u'Western']"
American-Pie,[u'Comedy']
"American-President,-The","[u'Comedy', u'Drama', u'Romance']"
American-Psycho,"[u'Crime', u'Drama']"
American-Shaolin-King-of-Kickboxers-II,[u'Action']
American-Splendor,"[u'Biography', u'Comedy', u'Drama']"
American-Werewolf-in-London,"[u'Comedy', u'Horror']"
"Amityville-Asylum,-The",[u'Horror']
Amour,"[u'Drama', u'Romance']"
An-Education,[u'Drama']
Analyze-Tha,"[u'Comedy', u'Crime']"
Analyze-This,"[u'Comedy', u'Crime']"
Anastasia,"[u'Animation', u'Adventure', u'Drama', u'Family', u'Fantasy', u'Musical', u'Mystery', u'Romance']"
Angel-Eyes,"[u'Drama', u'Romance']"
Angels-&-Demons,"[u'Mystery', u'Thriller']"
Anna-Karenina,"[u'Drama', u'Romance']"
Annie-Ha,"[u'Comedy', u'Romance']"
"Anniversary-Party,-The","[u'Comedy', u'Drama', u'Romance']"
Anonymous,"[u'Crime', u'Drama', u'Thriller']"
Antitrus,"[u'Action', u'Crime', u'Drama', u'Thriller']"
Antz,"[u'Animation', u'Adventure', u'Comedy', u'Family']"
Apocalypse-Now,"[u'Drama', u'War']"
April-Fool's-Day,"[u'Horror', u'Mystery']"
Apt-Pupi,"[u'Crime', u'Drama', u'Thriller']"
Arbitrage,"[u'Drama', u'Thriller']"
Arcade,"[u'Horror', u'Sci-Fi']"
Arctic-Blue,"[u'Action', u'Thriller']"
Argo,"[u'Biography', u'Drama', u'History', u'Thriller']"
Armageddon,"[u'Action', u'Adventure', u'Sci-Fi', u'Thriller']"
Army-of-Darkness,"[u'Comedy', u'Fantasy', u'Horror']"
Arsenic-and-Old-Lace,"[u'Comedy', u'Crime', u'Thriller']"
Arthur,"[u'Comedy', u'Romance']"
"Artist,-The","[u'Comedy', u'Drama', u'Romance']"
As-Good-As-It-Gets,"[u'Comedy', u'Drama', u'Romance']"
Assassins,"[u'Action', u'Crime', u'Thriller']"
"Assignment,-The","[u'Action', u'Crime', u'Thriller']"
At-First-Sig,"[u'Drama', u'Romance']"
August-Osage-County,[u'Drama']
Austin-Powers---International-Man-of-Mystery,"[u'Comedy', u'Crime']"
Austin-Powers---The-Spy-Who-Shagged-Me,"[u'Action', u'Adventure', u'Comedy', u'Crime']"
Authors-Anonymous,[u'Comedy']
Autumn-in-New-York,"[u'Drama', u'Romance']"
Avatar,"[u'Action', u'Adventure', u'Fantasy', u'Sci-Fi']"
"Avengers,-The-(2012)","[u'Action', u'Sci-Fi']"
"Avengers,-The","[u'Action', u'Sci-Fi']"
"Avventura,-L'-(The-Adventure)",[u'Documentary']
Awakenings,"[u'Biography', u'Drama']"
Babe,"[u'Comedy', u'Drama', u'Family']"
"Bachelor-Party,-The",[u'Comedy']
Bachelor-Party,[u'Comedy']
"Back-up-Plan,-The","[u'Comedy', u'Romance']"
Backdraf,"[u'Action', u'Crime', u'Drama', u'Mystery', u'Thriller']"
Bad-Boys,"[u'Action', u'Comedy', u'Crime', u'Drama', u'Thriller']"
Bad-Country,"[u'Action', u'Crime', u'Drama', u'Mystery', u'Thriller']"
Bad-Day-at-Black-Rock,"[u'Crime', u'Drama', u'Mystery', u'Thriller', u'Western']"
Bad-Dreams,"[u'Horror', u'Thriller']"
Bad-Lieutenan,"[u'Crime', u'Drama', u'Thriller']"
Bad-Santa,"[u'Comedy', u'Crime', u'Drama']"
Bad-Teacher,[u'Comedy']
Badlands,"[u'Action', u'Adventure', u'Drama']"
Bamboozled,"[u'Comedy', u'Drama', u'Music']"
Barry-Lyndon,"[u'Adventure', u'Drama', u'History', u'War']"
Barton-Fink,"[u'Comedy', u'Drama', u'Thriller']"
Basic-Instinc,"[u'Drama', u'Mystery', u'Thriller']"
Basic,"[u'Action', u'Crime', u'Drama', u'Mystery', u'Thriller']"
Basquia,"[u'Biography', u'Drama']"
Batman-2,"[u'Action', u'Adventure']"
Batman,"[u'Action', u'Adventure']"
Battle-Los-Angeles,"[u'Action', u'Sci-Fi']"
"Battle-of-Algiers,-The","[u'Drama', u'War']"
"Battle-of-Shaker-Heights,-The","[u'Drama', u'Romance', u'Comedy']"
Bean,"[u'Adventure', u'Comedy', u'Family']"
Beasts-of-the-Southern-Wild,"[u'Drama', u'Fantasy']"
Beavis-and-Butt-head-Do-America,"[u'Animation', u'Adventure', u'Comedy', u'Crime', u'Music']"
Beginners,"[u'Comedy', u'Drama', u'Romance']"
Being-Human,"[u'Comedy', u'Drama', u'Fantasy', u'Horror']"
Being-John-Malkovic,"[u'Comedy', u'Drama', u'Fantasy']"
Being-There,"[u'Comedy', u'Drama']"
"Believer,-The",[u'Drama']
Beloved,"[u'Drama', u'History', u'Horror']"
Benny-&-Joon,"[u'Comedy', u'Drama', u'Romance']"
"Best-Exotic-Marigold-Hotel,-The","[u'Comedy', u'Drama']"
"Big-Blue,-The","[u'Adventure', u'Drama', u'Sport']"
Big-Fis,"[u'Adventure', u'Drama', u'Fantasy']"
"Big-Lebowski,-The","[u'Comedy', u'Crime', u'Mystery']"
"Big-White,-The","[u'Comedy', u'Crime', u'Drama']"
Big,"[u'Comedy', u'Drama', u'Family', u'Fantasy', u'Romance']"
"Birds,-The","[u'Drama', u'Horror', u'Mystery', u'Romance']"
Birthday-Gir,"[u'Comedy', u'Crime', u'Thriller']"
"Black-Dahlia,-The","[u'Crime', u'Drama', u'Mystery', u'Thriller']"
Black-Rain,"[u'Action', u'Crime', u'Thriller']"
Black-Snake-Moan,"[u'Drama', u'Music']"
Black-Swan,"[u'Drama', u'Thriller']"
Blade-Runner,"[u'Sci-Fi', u'Thriller']"
Blade-Trinity,"[u'Action', u'Adventure', u'Horror', u'Sci-Fi', u'Thriller']"
Blade,"[u'Action', u'Horror']"
"Blast-from-the-Past,-The","[u'Comedy', u'Drama', u'Romance', u'Sci-Fi']"
"Blind-Side,-The","[u'Biography', u'Drama', u'Sport']"
"Bling-Ring,-The","[u'Biography', u'Crime', u'Drama']"
Blood-and-Wine,"[u'Crime', u'Drama', u'Thriller']"
Blood-Simple,"[u'Crime', u'Drama', u'Thriller']"
Blow,"[u'Biography', u'Crime', u'Drama']"
Blue-Valentine,"[u'Drama', u'Romance']"
Blue-Velve,"[u'Drama', u'Mystery', u'Thriller']"
"Bodies,-Rest-&-Motion",[u'Drama']
Body-Hea,"[u'Crime', u'Drama', u'Romance', u'Thriller']"
Body-of-Evidence,"[u'Drama', u'Thriller']"
Bodyguard,"[u'Action', u'Drama', u'Music', u'Romance']"
Bonfire-of-the-Vanities,"[u'Comedy', u'Drama', u'Romance']"
Bonnie-and-Clyde,"[u'Action', u'Biography', u'Crime', u'Drama']"
Boogie-Nights,[u'Drama']
"Book-of-Eli,-The","[u'Action', u'Adventure', u'Drama', u'Thriller']"
"Boondock-Saints,-The","[u'Action', u'Crime', u'Thriller']"
Boondock-Saints-2-All-Saints-Day,"[u'Action', u'Crime', u'Thriller']"
Bound,"[u'Crime', u'Romance', u'Thriller']"
"Bounty-Hunter,-The",[u'Action']
"Bourne-Identity,-The","[u'Action', u'Mystery', u'Thriller']"
"Bourne-Supremacy,-The","[u'Action', u'Mystery', u'Thriller']"
"Bourne-Ultimatum,-The","[u'Action', u'Mystery', u'Thriller']"
"Box,-The","[u'Drama', u'Fantasy', u'Mystery', u'Thriller']"
Bravehear,"[u'Biography', u'Drama', u'History', u'War']"
Break,[u'Horror']
Breakdown,"[u'Action', u'Crime', u'Drama', u'Mystery', u'Thriller']"
"Breakfast-Club,-The","[u'Comedy', u'Drama']"
Breaking-Away,"[u'Comedy', u'Drama', u'Romance', u'Sport']"
Brick,"[u'Adventure', u'Family', u'Fantasy']"
Bridesmaids,"[u'Comedy', u'Romance']"
Bringing-Out-the-Dead,"[u'Drama', u'Thriller']"
Broadcast-News,"[u'Comedy', u'Drama', u'Romance']"
Broken-Arrow,"[u'Action', u'Crime', u'Thriller']"
Broken-Embraces,"[u'Drama', u'Romance', u'Thriller']"
"Brothers-Bloom,-The","[u'Adventure', u'Comedy', u'Drama', u'Romance']"
Bruce-Almighty,"[u'Comedy', u'Drama', u'Fantasy']"
Bull-Durha,"[u'Comedy', u'Romance', u'Sport']"
Buried,"[u'Drama', u'Mystery', u'Thriller']"
Burlesque,"[u'Drama', u'Music', u'Musical', u'Romance']"
Burn-After-Reading,"[u'Comedy', u'Drama']"
Burning-Annie,"[u'Comedy', u'Drama', u'Romance']"
"Butterfly-Effect,-The","[u'Sci-Fi', u'Thriller']"
Cable-Guy,"[u'Comedy', u'Drama', u'Thriller']"
Candle-to-Water,[u'Drama']
Capote,"[u'Biography', u'Crime', u'Drama', u'History']"
Carrie,[u'Horror']
Cars-2,"[u'Animation', u'Adventure', u'Comedy', u'Family', u'Sport']"
Case-39,"[u'Horror', u'Mystery', u'Thriller']"
Casino,"[u'Biography', u'Crime', u'Drama']"
Cast-Away,"[u'Animation', u'Action', u'Sci-Fi']"
Catch-Me-If-You-Can,"[u'Biography', u'Crime', u'Drama']"
Catwoman,"[u'Action', u'Crime', u'Fantasy', u'Thriller']"
Cecil-B.-Demented,"[u'Comedy', u'Crime', u'Thriller']"
