title,gross
10-Things-I-Hate-About-You,"$38,176,108"
12-and-Holding,"$95,687"
12-Monkeys,
12-Years-a-Slave,"$56,667,870"
127-Hours,"$18,329,466"
1492-Conquest-of-Paradise,"$7,191,399"
15-Minutes,"$24,375,436"
17-Again,"$64,149,837"
187,"$5,716,080"
2001-A-Space-Odyssey,"$56,715,371"
2012,"$166,112,167"
25th-Hour,"$13,060,843"
30-Minutes-or-Less,"$37,053,924"
42,"$95,001,343"
44-Inch-Ches,
50-50,"$229,041"
500-Days-of-Summer,"$32,391,374"
8MM,"$36,283,504"
9,"$31,743,332"
A-Few-Good-Men,"$141,340,178"
A-Serious-Man,"$9,190,525"
Above-the-Law,"$18,869,631"
Absolute-Power,"$50,007,168"
"Abyss,-The","$54,222,000"
Adaptation,"$22,245,861"
"Addams-Family,-The","$113,502,246"
"Adjustment-Bureau,-The","$62,453,315"
"Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The",
Affliction,"$6,302,154"
After-School-Specia,
After.Life,"$108,229"
Agnes-of-God,
Airplane-2-The-Seque,
Airplane,
Aladdin,"$217,350,219"
Ali,"$58,183,966"
Alien-3,"$55,473,600"
Alien-Nation,"$25,216,243"
Alien-Resurrection,"$47,748,610"
Alien-vs.-Predator,"$80,281,096"
Alien,"$78,900,000"
Aliens,"$85,200,000"
All-About-Eve,"$10,177"
All-About-Steve,"$10,177"
All-the-King's-Men,"$7,221,458"
All-the-President's-Men,
Almost-Famous,"$32,522,352"
Alone-in-the-Dark,"$5,132,655"
Amadeus,"$51,600,000"
Amelia,"$33,201,661"
"American,-The",
American-Beauty,"$130,058,047"
American-Gangster,"$130,127,620"
American-Graffiti,"$115,000,000"
American-History-X,"$6,712,241"
American-Hustle,"$150,117,807"
American-Madness,
American-Outlaws,"$13,264,986"
American-Pie,"$101,736,215"
"American-President,-The","$65,000,000"
American-Psycho,"$15,047,419"
American-Shaolin-King-of-Kickboxers-II,
American-Splendor,"$6,003,587"
American-Werewolf-in-London,
"Amityville-Asylum,-The",
Amour,"$225,377"
An-Education,"$12,574,715"
Analyze-Tha,"$32,122,249"
Analyze-This,"$106,694,016"
Anastasia,"$58,297,830"
Angel-Eyes,"$24,044,532"
Angels-&-Demons,"$133,375,846"
Anna-Karenina,"$12,802,907"
Annie-Ha,"$39,200,000"
"Anniversary-Party,-The","$4,013,506"
Anonymous,
Antitrus,"$10,965,209"
Antz,"$90,646,554"
Apocalypse-Now,"$78,800,000"
April-Fool's-Day,"$12,947,763"
Apt-Pupi,"$8,838,938"
Arbitrage,"$7,918,283"
Arcade,
Arctic-Blue,
Argo,"$136,019,448"
Armageddon,"$201,573,391"
Army-of-Darkness,"$11,501,093"
Arsenic-and-Old-Lace,
Arthur,"$95,461,682"
"Artist,-The","$44,667,095"
As-Good-As-It-Gets,"$147,637,474"
Assassins,"$30,306,268"
"Assignment,-The",
At-First-Sig,"$22,326,247"
August-Osage-County,"$37,738,400"
Austin-Powers---International-Man-of-Mystery,"$53,868,030"
Austin-Powers---The-Spy-Who-Shagged-Me,"$205,399,422"
Authors-Anonymous,
Autumn-in-New-York,"$37,752,931"
Avatar,"$760,505,847"
"Avengers,-The-(2012)","$623,279,547"
"Avengers,-The","$623,279,547"
"Avventura,-L'-(The-Adventure)",
Awakenings,"$52,096,475"
Babe,"$66,600,000"
"Bachelor-Party,-The","$38,400,000"
Bachelor-Party,"$38,400,000"
"Back-up-Plan,-The","$37,481,242"
Backdraf,"$77,868,585"
Bad-Boys,"$65,807,024"
Bad-Country,
Bad-Day-at-Black-Rock,
Bad-Dreams,"$9,797,098"
Bad-Lieutenan,"$2,000,022"
Bad-Santa,"$17,664,973"
Bad-Teacher,"$100,292,856"
Badlands,
Bamboozled,"$2,185,266"
Barry-Lyndon,
Barton-Fink,"$6,153,939"
Basic-Instinc,"$117,727,224"
Basic,"$26,536,120"
Basquia,"$2,961,991"
Batman-2,"$251,188,924"
Batman,"$251,188,924"
Battle-Los-Angeles,"$83,552,429"
"Battle-of-Algiers,-The","$55,908"
"Battle-of-Shaker-Heights,-The","$279,282"
Bean,"$45,298,656"
Beasts-of-the-Southern-Wild,"$12,784,397"
Beavis-and-Butt-head-Do-America,"$63,071,133"
Beginners,"$5,776,314"
Being-Human,
Being-John-Malkovic,"$22,858,926"
Being-There,
"Believer,-The","$406,035"
Beloved,"$22,843,047"
Benny-&-Joon,"$23,202,734"
"Best-Exotic-Marigold-Hotel,-The","$46,377,022"
"Big-Blue,-The","$3,500,000"
Big-Fis,"$66,257,002"
"Big-Lebowski,-The","$17,439,163"
"Big-White,-The",
Big,"$114,968,774"
"Birds,-The",
Birthday-Gir,"$4,919,896"
"Black-Dahlia,-The","$22,518,325"
Black-Rain,"$45,645,204"
Black-Snake-Moan,"$9,396,487"
Black-Swan,"$106,952,327"
Blade-Runner,"$27,000,000"
Blade-Trinity,"$52,397,389"
Blade,"$70,001,065"
"Blast-from-the-Past,-The","$26,494,611"
"Blind-Side,-The","$255,950,375"
"Bling-Ring,-The","$5,841,046"
Blood-and-Wine,"$1,075,288"
Blood-Simple,"$2,150,000"
Blow,"$52,937,130"
Blue-Valentine,"$9,701,559"
Blue-Velve,"$8,551,228"
"Bodies,-Rest-&-Motion","$764,083"
Body-Hea,
Body-of-Evidence,"$13,275,426"
Bodyguard,"$121,945,720"
Bonfire-of-the-Vanities,"$15,691,192"
Bonnie-and-Clyde,
Boogie-Nights,"$26,384,919"
"Book-of-Eli,-The","$94,822,707"
"Boondock-Saints,-The",
Boondock-Saints-2-All-Saints-Day,"$10,269,307"
Bound,"$3,798,532"
"Bounty-Hunter,-The",
"Bourne-Identity,-The","$121,468,960"
"Bourne-Supremacy,-The","$176,049,130"
"Bourne-Ultimatum,-The","$227,137,090"
"Box,-The","$15,045,676"
Bravehear,"$75,600,000"
Break,
Breakdown,"$50,129,186"
"Breakfast-Club,-The","$38,100,000"
Breaking-Away,
Brick,"$234,903,076"
Bridesmaids,"$169,076,745"
Bringing-Out-the-Dead,"$16,640,210"
Broadcast-News,"$51,249,404"
Broken-Arrow,"$70,450,000"
Broken-Embraces,"$5,009,119"
"Brothers-Bloom,-The","$3,519,627"
Bruce-Almighty,"$242,589,580"
Bull-Durha,"$50,888,729"
Buried,"$1,028,658"
Burlesque,"$39,440,655"
Burn-After-Reading,"$60,338,891"
Burning-Annie,
"Butterfly-Effect,-The","$23,947"
Cable-Guy,"$60,154,431"
Candle-to-Water,
Capote,"$28,747,570"
Carrie,
Cars-2,"$191,450,875"
Case-39,"$13,248,477"
Casino,"$42,438,300"
Cast-Away,
Catch-Me-If-You-Can,"$164,435,221"
Catwoman,"$40,198,710"
Cecil-B.-Demented,"$1,276,984"
Cedar-Rapids,"$6,857,503"
Celeste-&-Jesse-Forever,"$3,094,687"
"Cell,-The","$61,280,963"
Cellular,"$32,003,620"
"Change-Up,-The","$37,035,845"
Changeling,"$35,707,327"
Chaos,
Charade,
Charlie's-Angels,"$125,305,545"
Chasing-Amy,"$12,006,514"
Chasing-Sleep,
Cherry-Falls,
Chinatown,
Christ-Complex,
Chronicle,"$64,572,496"
"Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe","$291,709,845"
"Cider-House-Rules,-The","$57,536,361"
"Cincinnati-Kid,-The",
Cinema-Paradiso,"$11,990,401"
Cirque-du-Freak-The-Vampire's-Assistan,"$13,838,130"
Citizen-Kane,
City-of-Joy,"$14,683,921"
Clash-of-the-Titans,"$163,192,114"
Clerks,"$3,151,130"
Cliffhanger,"$84,049,211"
Cobb,"$1,007,583"
Code-of-Silence,
Cold-Mountain,"$95,632,614"
Collatera,"$30,702,001"
Collateral-Damage,"$40,048,332"
Colombiana,"$36,665,854"
Color-of-Nig,"$19,721,814"
Commando,
Conan-the-Barbarian,"$37,567,440"
Confessions-of-a-Dangerous-Mind,
Confidence,"$12,212,417"
Constantine,"$75,500,759"
"Cooler,-The","$8,243,880"
Coraline,"$75,280,058"
Coriolanus,"$756,452"
Cowboys-&-Aliens,"$100,215,116"
Cradle-2-the-Grave,"$34,604,054"
Crank,"$27,829,874"
Cras,"$54,557,348"
"Crazy,-Stupid,-Love","$84,244,877"
Crazylove,
Creation,"$340,611"
Crime-Spree,
"Croods,-The","$187,165,546"
"Crouching-Tiger,-Hidden-Dragon","$128,067,808"
Croupier,"$6,198,916"
"Crow,-The","$50,693,162"
"Crow-City-of-Angels,-The","$17,883,659"
Cruel-Intentions,"$38,201,895"
Crying-Game,"$62,549,000"
"Curious-Case-of-Benjamin-Button,-The","$127,490,802"
Custody,
"Damned-United,-The","$449,558"
Dances-with-Wolves,"$184,208,848"
Dark-City,"$14,337,579"
"Dark-Knight-Rises,-The","$448,130,642"
Dark-Star,
Darkman,"$33,878,502"
Date-Nig,"$98,711,404"
Dave-Barry's-Complete-Guide-to-Guys,
Dawn-of-the-Dead,"$58,885,635"
Day-of-the-Dead,
"Day-the-Clown-Cried,-The",
"Day-the-Earth-Stood-Still,-The","$79,363,785"
Days-of-Heaven,
Dead-Poets-Society,"$95,860,116"
Death-at-a-Funera,"$8,579,684"
Death-to-Smoochy,"$8,355,815"
"Debt,-The","$31,146,570"
Deception,"$85,433"
Deep-Cover,
Deep-Rising,"$11,146,409"
"Deer-Hunter,-The",
Defiance,
"Departed,-The","$132,373,442"
"Descendants,-The",
Despicable-Me-2,"$251,501,645"
Detroit-Rock-City,"$4,193,025"
Devil's-Advocate,"$60,984,028"
Devil-in-a-Blue-Dress,"$16,030,096"
Die-Hard-2,"$117,541,000"
Die-Hard,"$81,350,242"
Diner,"$14,100,000"
"Distinguished-Gentleman,-The","$46,666,502"
Disturbia,"$80,050,171"
Django-Unchained,"$162,804,648"
Do-The-Right-Thing,"$27,545,445"
Dog-Day-Afternoon,
Dogma,"$30,651,422"
Donnie-Brasco,"$41,954,997"
"Doors,-The","$35,183,792"
Double-Indemnity,
Drag-Me-to-He,"$42,057,340"
Dragonslayer,"$6,000,000"
Drive-Angry,"$10,706,786"
Drive,"$35,054,909"
Drop-Dead-Gorgeous,"$10,561,238"
"Dry-White-Season,-A","$3,766,879"
Duck-Soup,
Dumb-and-Dumber,"$86,208,010"
Dune,"$27,400,000"
E.T,"$434,949,459"
Eagle-Eye,"$101,111,837"
Eastern-Promises,"$17,114,882"
Easy-A,"$58,401,464"
Ed-TV,"$22,362,500"
Ed-Wood,"$5,887,457"
Edward-Scissorhands,"$56,362,352"
Eight-Legged-Freaks,"$17,266,505"
El-Mariachi,"$2,040,920"
Election,"$14,879,556"
"Elephant-Man,-The",
Elizabeth-The-Golden-Age,"$16,264,475"
Enoug,"$17,536,788"
Entrapmen,"$87,704,396"
Erik-the-Viking,"$1,932,642"
Erin-Brockovic,"$125,548,685"
Escape-From-L.A,"$25,407,250"
Escape-From-New-York,"$25,244,700"
Eternal-Sunshine-of-the-Spotless-Mind,"$34,126,138"
Even-Cowgirls-Get-the-Blues,"$1,710,000"
Event-Horizon,"$26,616,590"
Evil-Dead-II-Dead-by-Dawn,
Evil-Dead,"$54,239,856"
Excalibur,
eXistenZ,"$2,840,417"
Extrac,
"Fabulous-Baker-Boys,-The","$16,823,529"
Face-Off,
Fair-Game,"$9,528,092"
"Family-Man,-The","$75,764,085"
Fantastic-Four,"$56,114,221"
Fantastic-Mr-Fox,"$20,999,103"
Fargo,
Fast-Times-at-Ridgemont-Hig,
Fatal-Instinc,"$7,852,653"
"Fault-in-Our-Stars,-The","$124,868,837"
Fear-and-Loathing-in-Las-Vegas,"$10,562,387"
Feas,
Ferris-Bueller's-Day-Off,"$70,136,369"
Field-of-Dreams,"$64,431,625"
"Fifth-Element,-The","$63,540,020"
Fight-Club,"$37,023,395"
"Fighter,-The","$93,571,803"
Final-Destination-2,"$46,455,802"
Final-Destination,"$53,302,314"
Finding-Nemo,"$380,838,870"
Five-Easy-Pieces,
Flash-Gordon,
Fletc,"$76,081,498"
Flig,"$18,564,613"
"Flintstones,-The","$130,512,915"
Forrest-Gump,"$329,691,196"
Four-Feathers,"$18,306,166"
Four-Rooms,"$4,301,331"
Foxcatcher,"$12,096,300"
Fracture,"$39,004,700"
Frances,"$5,000,000"
Frankenstein,"$5,773,519"
Freaked,
Freddy-vs.-Jason,"$82,163,317"
"French-Connection,-The",
Friday-the-13,
Friday-the-13th-Part-VIII-Jason-Takes-Manhattan,"$14,343,976"
Fright-Nig,"$18,298,649"
Fright-Night-(1985),
From-Dusk-Till-Dawn,"$25,753,840"
From-Here-to-Eternity,
Frozen-(Disney),
Frozen-River,"$2,508,841"
Frozen,"$400,736,600"
Fruitvale-Station,"$16,097,842"
"Fugitive,-The","$183,875,760"
Funny-People,"$51,814,190"
G.I.-Jane,"$48,154,732"
G.I.-Joe-The-Rise-of-Cobra,"$150,167,630"
"Game,-The",
Game-6,
Gamer,"$20,488,579"
Gandhi,
Gang-Related,
Gangs-of-New-York,"$77,679,638"
Garden-State,"$26,781,723"
Gattaca,"$12,339,633"
Get-Carter,
Get-Low,"$9,176,553"
Get-Shorty,"$72,077,000"
"Getaway,-The","$10,494,494"
Ghos,"$128,344,089"
"Ghost-and-the-Darkness,-The","$38,553,833"
Ghost-Rider,"$115,802,596"
Ghost-Ship,"$30,079,316"
Ghost-World,"$6,200,756"
Ghostbusters-2,"$128,344,089"
Ghostbusters,"$128,344,089"
Ginger-Snaps,
"Girl-with-the-Dragon-Tattoo,-The","$102,515,793"
Gladiator,"$187,670,866"
Glengarry-Glen-Gross,"$10,725,228"
Go,"$16,842,303"
Godfather-Part-II,"$57,300,000"
"Godfather-Part-III,-The","$66,676,062"
Godfather,"$134,821,952"
Gods-and-Monsters,"$6,390,032"
Godzilla,"$1,908,028"
Gone-in-60-Seconds,
"Good-Girl,-The","$14,015,786"
Good-Will-Hunting,"$138,339,411"
Gothika,"$59,588,068"
"Graduate,-The","$104,397,102"
Gran-Torino,"$148,085,755"
Grand-Hote,
Grand-Theft-Parsons,
"Grapes-of-Wrath,-The",
Gravity,"$274,084,951"
"Green-Mile,-The","$136,801,374"
Gremlins-2,"$148,170,000"
Gremlins,"$148,170,000"
"Grifters,-The","$13,446,769"
Grosse-Point-Blank,"$28,014,536"
Groundhog-Day,"$70,906,973"
"Grudge,-The","$110,175,871"
Hackers,"$7,564,000"
Hall-Pass,"$45,045,037"
Halloween-The-Curse-of-Michael-Myers,"$15,126,948"
Hancock,"$227,946,274"
"Hangover,-The","$277,313,371"
Hanna,"$40,247,512"
Hannah-and-Her-Sisters,"$40,084,041"
Hanniba,
"Happy-Birthday,-Wanda-June",
Happy-Fee,"$197,992,827"
Hard-Rain,"$19,819,494"
Hard-to-Ki,"$47,410,000"
Harold-and-Kumar-Go-to-White-Castle,"$18,225,165"
"Haunting,-The",
He's-Just-Not-That-Into-You,"$93,952,276"
Hea,"$36,247,227"
Heathers,"$1,108,462"
Heavenly-Creatures,"$3,049,135"
"Hebrew-Hammer,-The","$19,539"
Heis,
Hellbound-Hellraiser-II,"$11,090,735"
Hellboy-2-The-Golden-Army,"$75,754,670"
Hellboy,"$59,035,104"
Hellraiser-3-Hell-on-Ear,"$12,534,961"
Hellraiser-Deader,
Hellraiser-Hellseeker,
Hellraiser,"$14,564,027"
"Help,-The","$169,705,587"
Henry's-Crime,"$101,882"
Henry-Foo,"$1,334,786"
Hesher,"$382,946"
High-Fidelity,"$27,277,055"
Highlander-Endgame,"$12,801,190"
Highlander,"$5,900,000"
"Hills-Have-Eyes,-The","$41,777,564"
His-Girl-Friday,
Hitchcock,"$6,002,708"
"Hitchhiker's-Guide-to-the-Galaxy,-The","$51,019,112"
Hollow-Man,"$73,209,340"
Honeydripper,"$267,880"
Horrible-Bosses,"$54,414,716"
"Horse-Whisperer,-The","$75,370,763"
"Hospital,-The",
Hostage,"$34,636,443"
Hot-Tub-Time-Machine,"$50,213,619"
Hotel-Rwanda,"$23,472,900"
House-of-1000-Corpses,"$12,583,510"
How-to-Lose-Friends-&-Alienate-People,"$2,775,593"
How-to-Train-Your-Dragon-2,"$176,997,107"
How-to-Train-Your-Dragon,"$217,387,997"
Hudson-Hawk,"$17,218,080"
"Hudsucker-Proxy,-The","$2,869,369"
Human-Nature,"$695,876"
"Hunt-for-Red-October,-The","$122,012,643"
I'll-Do-Anything,"$10,209,111"
"I,-Robo",
I-Am-Number-Four,"$55,092,830"
I-am-Sa,"$40,270,895"
I-Love-You-Phillip-Morris,"$2,035,566"
I-Spit-on-Your-Grave,"$92,401"
I-Still-Know-What-You-Did-Last-Summer,"$39,989,008"
"Ice-Storm,-The","$7,837,632"
"Ides-of-March,-The","$40,962,534"
"Imaginarium-of-Doctor-Parnassus,-The","$7,689,458"
In-the-Bedroo,"$35,918,429"
In-the-Loop,"$2,384,044"
Inception,"$292,568,851"
"Incredibles,-The","$261,437,578"
Indiana-Jones-and-the-Last-Crusade,"$197,171,806"
Indiana-Jones-and-the-Raiders-of-the-Lost-Ark,
Indiana-Jones-and-the-Temple-of-Doo,"$179,870,271"
Indiana-Jones-IV,
"Informant,-The","$33,313,582"
Inglourious-Basterds,"$120,523,073"
"Insider,-The","$28,965,197"
Insidious,"$53,991,137"
Insomnia,"$67,263,182"
Interstellar,"$187,991,439"
Interview-with-the-Vampire,
Into-the-Wild,"$18,352,454"
Intolerable-Cruelty,"$35,096,190"
Inventing-the-Abbotts,"$5,852,547"
"Invention-of-Lying,-The","$18,439,082"
Invictus,"$37,479,778"
"Iron-Lady,-The","$29,959,436"
"Island,-The","$127,968,405"
It's-a-Wonderful-Life,
It's-Complicated,"$112,703,470"
It-Happened-One-Nig,
"Italian-Job,-The","$106,126,012"
"Jacket,-The","$6,301,131"
Jackie-Brown,"$39,647,595"
Jacob's-Ladder,"$26,118,851"
Jane-Eyre,"$11,232,825"
Jason-X,"$12,610,731"
Jaws-2,"$102,922,376"
Jaws,"$260,000,000"
Jay-and-Silent-Bob-Strike-Back,"$30,059,386"
Jennifer's-Body,"$16,204,793"
Jennifer-Eig,"$16,204,793"
Jerry-Maguire,"$153,620,822"
Jeux-Interdits,
JFK,"$70,405,498"
Jimmy-and-Judy,
John-Q,"$71,026,631"
Judge-Dredd,"$34,694,000"
Juno,"$143,492,840"
Jurassic-Park-III,"$181,166,115"
Jurassic-Park-The-Lost-World,"$229,074,524"
Jurassic-Park,"$356,784,000"
Kafka,"$1,100,000"
Kalifornia,"$2,395,231"
Kate-&-Leopold,"$47,095,453"
"Kids-Are-All-Right,-The","$20,803,237"
Kids,"$7,417,210"
Kill-Bill-Volume-1-&-2,
Killing-Zoe,"$418,953"
"King's-Speech,-The","$138,795,342"
King-Kong,
"King-of-Comedy,-The",
"Kingdom,-The",
Klute,
Knocked-Up,"$148,734,225"
Kramer-vs-Kramer,"$106,300,000"
Kundun,"$5,532,301"
Kung-Fu-Panda,"$143,523,463"
L.A.-Confidentia,"$64,604,977"
Labor-of-Love,
Labyrin,"$81,687,587"
"Ladykillers,-The",
Lake-Placid,"$31,768,374"
Land-of-the-Dead,"$20,433,940"
Larry-Crowne,"$35,565,975"
"Last-Boy-Scout,-The","$59,509,925"
Last-Chance-Harvey,"$14,879,423"
"Last-Flight,-The",
"Last-of-the-Mohicans,-The","$72,455,275"
"Last-Samurai,-The","$111,110,575"
"Last-Station,-The","$6,615,578"
Last-Tango-in-Paris,
Law-Abiding-Citizen,"$73,343,413"
Le-Diable-par-la-Queue,
Legally-Blonde,"$95,001,351"
Legend,"$1,865,774"
Legion,
Les-Miserables,"$148,775,460"
Les-Tontons-Flingueurs,
Leviathan,
Liar-Liar,"$181,395,380"
"Life-of-David-Gale,-The","$19,593,740"
Life-of-Pi,"$124,976,634"
Life,
Light-Sleeper,"$1,100,000"
"Limey,-The","$3,193,102"
Limitless,
"Lincoln-Lawyer,-The","$57,981,889"
Lincoln,"$182,204,440"
Little-Athens,
"Little-Mermaid,-The","$109,859,444"
Little-Nicky,"$39,442,871"
Living-in-Oblivion,"$1,148,752"
"Lock,-Stock-and-Two-Smoking-Barrels","$3,650,677"
Logan's-Run,"$25,000,000"
Lone-Star,
"Long-Kiss-Goodnight,-The","$33,328,051"
Looper,"$66,468,315"
Lord-of-Illusions,"$13,293,081"
"Lord-of-the-Rings-Fellowship-of-the-Ring,-The","$313,837,577"
Lord-of-the-Rings-Return-of-the-King,"$377,019,252"
Lord-of-the-Rings-The-Two-Towers,"$340,478,898"
Lord-of-War,"$24,127,895"
"Losers,-The","$23,527,955"
Lost-Highway,"$3,796,699"
Lost-Horizon,
Lost-in-Space,
Lost-in-Translation,"$44,566,004"
Love-and-Basketba,
Machete,"$26,589,953"
Machine-Gun-Preacher,"$537,580"
Mad-Max-2-The-Road-Warrior,
Made,"$5,308,707"
Magnolia,"$22,450,975"
"Majestic,-The-(The-Bijou)","$27,796,042"
Major-League,"$49,797,148"
Malcolm-X,"$48,169,908"
Malibu's-Most-Wanted,"$34,308,901"
Man-in-the-Iron-Mask,"$56,876,365"
Man-On-Fire,"$77,862,546"
Man-on-the-Moon,"$34,580,635"
Man-Trouble,"$4,096,030"
"Man-Who-Knew-Too-Much,-The",
"Man-Who-Wasn't-There,-The","$7,494,849"
"Manchurian-Candidate,-The","$65,948,711"
Manhattan-Murder-Mystery,"$11,285,588"
Manhunter,"$8,620,929"
Margare,"$46,495"
Margin-Ca,"$5,354,039"
Margot-at-the-Wedding,"$1,956,291"
"Mariachi,-E","$2,040,920"
