title,rating,mpaa
10-Things-I-Hate-About-You,7.2,"Rated PG-13 for crude sex-related humor and dialogue, alcohol and drug-related scenes, all involving teens"
12-and-Holding,7.6,"Rated R for some violence and sexual content involving minors, and for language"
12-Monkeys,7.6,
12-Years-a-Slave,8.1,"Rated R for violence/cruelty, some nudity and brief sexuality"
127-Hours,7.6,Rated R for language and some disturbing violent content/bloody images
1492-Conquest-of-Paradise,6.5,Rated PG-13 for historical violence and brutality
15-Minutes,6.1,"Rated R for strong violence, language and some sexuality"
17-Again,6.4,"Rated PG-13 for language, some sexual material and teen partying"
187,6.7,"Rated R for violence, strong language, drug use and brief nudity"
2001-A-Space-Odyssey,8.3,
2012,5.8,Rated PG-13 for intense disaster sequences and some language
25th-Hour,7.7,Rated R for strong language and some violence
30-Minutes-or-Less,6.1,"Rated R for crude and sexual content, pervasive language, nudity and some violence"
42,7.5,Rated PG-13 for thematic elements including language
44-Inch-Ches,5.8,"Rated R for pervasive strong language including sexual references, and some violence"
50-50,5.8,"Rated R for scenes of violence, and for language"
500-Days-of-Summer,7.7,Rated PG-13 for sexual material and language
8MM,6.5,"Rated R for strong perverse sexuality and violence, and for strong language"
9,7.1,Rated PG-13 for violence and scary images
A-Few-Good-Men,7.6,Rated R for language
A-Serious-Man,7.0,"Rated R for language, some sexuality/nudity and brief violence"
Above-the-Law,5.9,
Absolute-Power,6.7,"Rated R for violence, sexuality and language"
"Abyss,-The",7.6,Rated PG-13 for language and some scenes of action
Adaptation,7.7,"Rated R for language, sexuality, some drug use and violent images"
"Addams-Family,-The",6.8,
"Adjustment-Bureau,-The",7.1,"Rated PG-13 for brief strong language, some sexuality and a violent image"
"Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The",6.4,
Affliction,7.0,Rated R for violence and language
After-School-Specia,,
After.Life,5.9,"Rated R for nudity, disturbing images, language and brief sexuality"
Agnes-of-God,6.6,
Airplane-2-The-Seque,6.1,
Airplane,,
Aladdin,8.0,
Ali,6.8,Rated R for some language and brief violence
Alien-3,6.4,"Rated R for monster violence, and for language"
Alien-Nation,6.3,
Alien-Resurrection,6.3,"Rated R for strong sci-fi violence and gore, some grotesque images, and for language"
