title,year
10-Things-I-Hate-About-You,1999.0
12-and-Holding,2005.0
12-Monkeys,2015.0
12-Years-a-Slave,2013.0
127-Hours,2010.0
1492-Conquest-of-Paradise,1992.0
15-Minutes,2001.0
17-Again,2009.0
187,1997.0
2001-A-Space-Odyssey,1968.0
2012,2009.0
25th-Hour,2002.0
30-Minutes-or-Less,2011.0
42,2013.0
44-Inch-Ches,2009.0
50-50,1992.0
500-Days-of-Summer,2009.0
8MM,1999.0
9,2009.0
A-Few-Good-Men,1992.0
A-Serious-Man,2009.0
Above-the-Law,1988.0
Absolute-Power,1997.0
"Abyss,-The",1989.0
Adaptation,2002.0
"Addams-Family,-The",1991.0
"Adjustment-Bureau,-The",2011.0
"Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The",1984.0
Affliction,1997.0
After-School-Specia,2017.0
After.Life,2009.0
Agnes-of-God,1985.0
Airplane-2-The-Seque,1982.0
Airplane,1999.0
Aladdin,1992.0
Ali,2001.0
Alien-3,1992.0
Alien-Nation,1988.0
Alien-Resurrection,1997.0
Alien-vs.-Predator,2004.0
Alien,1979.0
Aliens,1986.0
All-About-Eve,1950.0
All-About-Steve,1950.0
All-the-King's-Men,2006.0
All-the-President's-Men,1976.0
Almost-Famous,2000.0
Alone-in-the-Dark,2005.0
Amadeus,1984.0
Amelia,2001.0
"American,-The",2013.0
American-Beauty,1999.0
American-Gangster,2007.0
American-Graffiti,1973.0
American-History-X,1998.0
American-Hustle,2013.0
American-Madness,2017.0
American-Outlaws,2001.0
American-Pie,1999.0
"American-President,-The",1995.0
American-Psycho,2000.0
American-Shaolin-King-of-Kickboxers-II,1991.0
American-Splendor,2003.0
American-Werewolf-in-London,1981.0
"Amityville-Asylum,-The",2013.0
Amour,2012.0
An-Education,2009.0
Analyze-Tha,2002.0
Analyze-This,1999.0
Anastasia,1997.0
Angel-Eyes,2001.0
Angels-&-Demons,2009.0
Anna-Karenina,2012.0
Annie-Ha,1977.0
"Anniversary-Party,-The",2001.0
Anonymous,2016.0
Antitrus,2001.0
Antz,1998.0
Apocalypse-Now,1979.0
April-Fool's-Day,1986.0
Apt-Pupi,1998.0
Arbitrage,2012.0
Arcade,1993.0
Arctic-Blue,1993.0
Argo,2012.0
Armageddon,1998.0
Army-of-Darkness,1992.0
Arsenic-and-Old-Lace,1944.0
Arthur,1981.0
"Artist,-The",2011.0
As-Good-As-It-Gets,1997.0
Assassins,1995.0
"Assignment,-The",2016.0
At-First-Sig,1999.0
August-Osage-County,2013.0
Austin-Powers---International-Man-of-Mystery,1997.0
Austin-Powers---The-Spy-Who-Shagged-Me,1999.0
Authors-Anonymous,2014.0
Autumn-in-New-York,2000.0
Avatar,2009.0
"Avengers,-The-(2012)",2012.0
